index_grid,intercept,log_assets,liabilities_assets,roa,net_margin,cash_assets,receivables_assets,inventory_assets,current_ratio,debt_assets,revenue_growth,assets_growth,gross_margin,working_capital_assets,asset_quality_proxy,receivables_revenue,debt_equity,loss_flag,dsri_proxy,gmi_proxy,sgi,lvgi,debt_assets_change,roa_change,gross_margin_change,receivables_growth,inventory_growth,debt_growth,total_accruals_assets_proxy
-2.4,1.7333494,1.6067995,-0.7565433,0.4914176,0.5363085,-0.8226542,1.5977697,0.46383846,-2.7257986,-0.22383632,1.6141086,-1.4071566,-0.91917473,0.8470787,-1.0508827,-0.3252016,0.8356837,0.09575968,-0.36280915,1.167499,0.21378523,-0.62480175,0.90098155,-0.44088686,-1.3376595,-0.050901357,0.20071091,0.883568,0.7784598
-2.35,1.6838732,1.5610654,-0.7411713,0.49865946,0.5352421,-0.79787123,1.5327322,0.45068333,-2.6161494,-0.21987234,1.5374686,-1.3670554,-0.87656033,0.82817626,-1.0119215,-0.30217218,0.78450036,0.08407331,-0.33276755,1.1106391,0.18978576,-0.62018275,0.86653286,-0.43511516,-1.2650352,-0.05564583,0.18368061,0.845682,0.7672747
-2.3,1.6352403,1.5160499,-0.725824,0.50502205,0.53374034,-0.7733327,1.46952,0.43731925,-2.5090976,-0.2158461,1.463455,-1.3277104,-0.8359053,0.80945253,-0.974016,-0.28034222,0.7357287,0.073327295,-0.30367684,1.0556479,0.16654393,-0.61531687,0.8327631,-0.42956033,-1.194827,-0.059881862,0.16761674,0.808744,0.7558987
-2.25,1.5874515,1.4717624,-0.71051586,0.51053447,0.53182495,-0.74904966,1.4081062,0.4237697,-2.4046276,-0.2117677,1.3920176,-1.2891237,-0.7971596,0.7909167,-0.9371477,-0.2596827,0.68931293,0.063492134,-0.27552608,1.0024921,0.1440524,-0.6102177,0.7996734,-0.42421475,-1.1269945,-0.06363258,0.15249409,0.7727447,0.7443484
-2.2,1.5405072,1.4282126,-0.6952615,0.5152262,0.52951753,-0.7250335,1.3484652,0.41005844,-2.3027241,-0.2076474,1.3231074,-1.2512974,-0.7602733,0.7725782,-0.9012982,-0.24016464,0.6451977,0.05453845,-0.24830437,0.9511394,0.122304134,-0.60489905,0.76726526,-0.41907075,-1.0614971,-0.06692107,0.1382876,0.73767525,0.7326406
-2.15,1.4944084,1.3854102,-0.68007517,0.5191264,0.5268397,-0.7012957,1.2905705,0.39620903,-2.2033718,-0.20349535,1.2566744,-1.2142338,-0.72519636,0.7544464,-0.8664494,-0.2217592,0.6033273,0.046436734,-0.22200094,0.90155727,0.10129201,-0.5993746,0.73554003,-0.4141208,-0.9982944,-0.06977048,0.12497212,0.70352656,0.7207921
-2.1,1.4491553,1.3433645,-0.6649716,0.52226454,0.52381295,-0.6778471,1.2343961,0.382245,-2.1065545,-0.19932167,1.1926693,-1.1779348,-0.6918788,0.73653036,-0.83258283,-0.20443732,0.5636461,0.039157555,-0.19660473,0.8537127,0.08100877,-0.59365803,0.70449895,-0.40935722,-0.93734574,-0.072203875,0.11252249,0.67028946,0.7088195
-2.05,1.4047494,1.3020856,-0.6499654,0.52467,0.52045906,-0.6546994,1.179916,0.36819026,-2.0122583,-0.19513668,1.1310427,-1.1424031,-0.6602709,0.7188399,-0.7996803,-0.18817022,0.5260989,0.03267152,-0.1721052,0.8075738,0.061447572,-0.5877633,0.67414373,-0.40477243,-0.87861127,-0.0742444,0.10091371,0.6379554,0.6967399
-2.0,1.3611909,1.261583,-0.6350709,0.52637196,0.5167995,-0.6318637,1.1271042,0.35406816,-1.9204669,-0.19095042,1.071745,-1.1076406,-0.6303227,0.70138395,-0.76772344,-0.17292893,0.49063,0.026949197,-0.14849132,0.76310754,0.042601064,-0.5817039,0.64447546,-0.4003588,-0.8220501,-0.07591513,0.0901206,0.6065152,0.68456966
-1.95,1.3184806,1.2218663,-0.6203026,0.52739984,0.512856,-0.60935146,1.0759342,0.33990252,-1.8311651,-0.18677312,1.0147268,-1.0736494,-0.6019842,0.68417203,-0.73669404,-0.15868449,0.4571839,0.021961128,-0.12575224,0.7202814,0.024462191,-0.57549363,0.6154957,-0.3961087,-0.76762193,-0.077239186,0.080118075,0.57595986,0.67232573
-1.9,1.2766191,1.1829448,-0.6056752,0.5277829,0.50865006,-0.5871738,1.02638,0.32571685,-1.7443374,-0.18261498,0.95993817,-1.040432,-0.57520545,0.6672134,-0.70657355,-0.14540799,0.425705,0.01767785,-0.103877075,0.6790628,0.0070237904,-0.5691462,0.5872056,-0.3920145,-0.7152862,-0.07823963,0.07088098,0.54628026,0.66002476
-1.85,1.2356073,1.1448287,-0.5912031,0.52755046,0.5042034,-0.5653421,0.97841555,0.31153488,-1.6599689,-0.17848617,0.90733004,-1.0079904,-0.54993665,0.65051734,-0.67734396,-0.13307051,0.39613783,0.014069999,-0.08285506,0.63941926,-0.009721201,-0.56267536,0.5596068,-0.38806868,-0.66500264,-0.0789396,0.06238425,0.51746756,0.6476837
-1.8,1.1954455,1.1075271,-0.5769008,0.5267319,0.4995375,-0.54386765,0.93201464,0.29738015,-1.5780436,-0.17439684,0.85685253,-0.97632676,-0.52612764,0.6340934,-0.6489867,-0.12164307,0.3684268,0.01110804,-0.06267525,0.601318,-0.025779983,-0.5560949,0.5327005,-0.38426355,-0.61673063,-0.079362184,0.05460274,0.48951265,0.63531905
-1.75,1.156135,1.0710502,-0.5627828,0.5253566,0.4946741,-0.5227618,0.8871513,0.2832764,-1.4985467,-0.17035721,0.80845654,-0.94544345,-0.50372875,0.61795074,-0.62148374,-0.11109683,0.3425165,0.008762622,-0.043326885,0.5647267,-0.041159593,-0.5494184,0.5064882,-0.38059148,-0.57043,-0.079530515,0.04751136,0.4624067,0.62294763
-1.7,1.117676,1.0354071,-0.5488638,0.5234537,0.4896347,-0.50203574,0.84379935,0.26924717,-1.4214627,-0.16637745,0.7620922,-0.9153425,-0.48268986,0.60209876,-0.59481657,-0.10140279,0.3183513,0.0070042587,-0.024799073,0.5296126,-0.05586722,-0.5426598,0.4809712,-0.37704492,-0.5260601,-0.07946767,0.041084986,0.43614063,0.61058635
-1.65,1.0800695,1.0006076,-0.53515804,0.52105266,0.48444092,-0.48170075,0.8019325,0.25531614,-1.3467758,-0.16246772,0.71771,-0.88602614,-0.46296108,0.5865467,-0.56896687,-0.092532046,0.29587567,0.005803554,-0.007080908,0.4959431,-0.069909975,-0.5358326,0.45615086,-0.37361616,-0.48358044,-0.07919676,0.03529851,0.4107054,0.59825176
-1.6,1.0433162,0.9666615,-0.52168036,0.5181828,0.4791145,-0.46176833,0.76152486,0.24150695,-1.2744713,-0.15863822,0.6752607,-0.8574967,-0.44449258,0.5713041,-0.54391646,-0.084455684,0.27503416,0.0051310244,0.009838383,0.46368578,-0.08329495,-0.5289507,0.4320287,-0.37029767,-0.44295084,-0.07874089,0.03012682,0.38609213,0.5859608
-1.55,1.0074166,0.93357825,-0.50844496,0.51487345,0.47367692,-0.4422495,0.7225501,0.2278432,-1.2045333,-0.15489909,0.63469446,-0.82975614,-0.42723432,0.55638003,-0.519647,-0.07714476,0.25577113,0.004957266,0.025969734,0.43280786,-0.09602933,-0.5220277,0.4086059,-0.36708182,-0.4041306,-0.07812314,0.025544804,0.3622917,0.57373005
-1.5,0.9723716,0.90136755,-0.4954666,0.51115394,0.46814984,-0.42315578,0.68498224,0.21434851,-1.1369468,-0.15126058,0.595962,-0.8028068,-0.41113642,0.54178405,-0.49614012,-0.07057034,0.23803115,0.005252831,0.04132395,0.4032769,-0.108120196,-0.5150774,0.38588402,-0.36396095,-0.3670795,-0.07736666,0.021527342,0.33929524,0.56157637
-1.45,0.93818176,0.870039,-0.4827597,0.50705355,0.46255487,-0.4044984,0.6487952,0.2010466,-1.0716962,-0.14773282,0.5590138,-0.7766509,-0.39614898,0.5275254,-0.4733776,-0.064703524,0.22175863,0.005988286,0.055911843,0.3750603,-0.11957465,-0.50811356,0.36386436,-0.3609275,-0.331757,-0.07649451,0.018049337,0.31709373,0.5495165
-1.4,0.90484786,0.8396022,-0.47033873,0.5026015,0.4569136,-0.38628852,0.6139626,0.18796095,-1.0087662,-0.14432599,0.5238001,-0.7512906,-0.382222,0.5136134,-0.45134097,-0.059515342,0.20689803,0.007134196,0.06974438,0.34812537,-0.13039991,-0.50114983,0.34254825,-0.3579738,-0.29812256,-0.07552981,0.015085657,0.29567805,0.537567
-1.35,0.87237054,0.81006694,-0.45821834,0.49782744,0.4512476,-0.36853763,0.5804586,0.17511538,-0.9481415,-0.1410503,0.49027157,-0.72672814,-0.36930555,0.50005746,-0.43001214,-0.054976903,0.19339387,0.008661116,0.08283232,0.32243967,-0.14060299,-0.49419993,0.3219372,-0.35509226,-0.26613596,-0.07449569,0.012611206,0.27503943,0.525745
-1.3,0.8407505,0.78144264,-0.44641286,0.49276036,0.44557852,-0.35125688,0.5482568,0.16253336,-0.88980657,-0.13791586,0.45837858,-0.7029656,-0.35734972,0.48686683,-0.4093726,-0.051059246,0.18119057,0.0105396295,0.09518658,0.29797047,-0.15019114,-0.4872777,0.30203244,-0.3522753,-0.23575655,-0.073415205,0.0106008565,0.25516868,0.514067
-1.25,0.8099886,0.75373906,-0.43493697,0.4874298,0.43992803,-0.33445773,0.5173314,0.15023865,-0.8337463,-0.13493295,0.42807177,-0.68000525,-0.34630466,0.47405094,-0.38940424,-0.04773347,0.17023262,0.012740259,0.106817976,0.27468538,-0.15917134,-0.48039672,0.28283545,-0.34951532,-0.20694408,-0.0723115,0.009029512,0.23605694,0.5025497
-1.2,0.7800855,0.7269659,-0.42380518,0.48186496,0.43431768,-0.31815132,0.4876561,0.13825479,-0.77994514,-0.13211168,0.39930156,-0.65784925,-0.3361203,0.46161902,-0.3700886,-0.044970643,0.16046453,0.015233609,0.11773734,0.2525517,-0.16755083,-0.47357085,0.2643476,-0.34680456,-0.17965801,-0.07120764,0.007872054,0.21769518,0.49120998
-1.15,0.7510418,0.70113254,-0.4130319,0.47609523,0.42876908,-0.302349,0.45920467,0.12660545,-0.7283878,-0.12946227,0.3720183,-0.63649994,-0.32674682,0.44958046,-0.35140747,-0.042741824,0.15183069,0.017990222,0.12795559,0.2315368,-0.17533666,-0.4668138,0.24657024,-0.34413552,-0.15385789,-0.070126764,0.00710337,0.20007434,0.4800646
-1.1,0.7228582,0.67624885,-0.40263176,0.47014993,0.42330384,-0.28706208,0.43195117,0.11531427,-0.6790589,-0.12699485,0.34617266,-0.61595935,-0.31813428,0.4379446,-0.33334246,-0.0410181,0.14427564,0.020980671,0.13748354,0.21160822,-0.182536,-0.4601392,0.22950475,-0.3415006,-0.12950335,-0.06909196,0.0066983453,0.18318553,0.46913025
-1.05,0.6955355,0.6523243,-0.39261916,0.46405837,0.41794357,-0.27230182,0.40586936,0.10440483,-0.6319429,-0.124719635,0.32171497,-0.5962297,-0.31023264,0.42672077,-0.3158753,-0.03977053,0.13774379,0.024175521,0.14633206,0.19273326,-0.18915601,-0.4535608,0.2131525,-0.33889213,-0.106553875,-0.06812633,0.006631872,0.16701971,0.45842367
-1.0,0.6690743,0.6293687,-0.3830088,0.45784992,0.41270992,-0.2580796,0.3809332,0.09390086,-0.5870248,-0.12264679,0.29859582,-0.5773132,-0.3029921,0.4159183,-0.29898775,-0.03897019,0.13217966,0.027545314,0.15451199,0.17487946,-0.19520369,-0.44709244,0.19751495,-0.33630252,-0.08496913,-0.067252986,0.006878834,0.1515679,0.4479617
-0.95,0.6434754,0.60739154,-0.37381503,0.45155382,0.40762442,-0.2444066,0.3571165,0.08382591,-0.544289,-0.120786525,0.27676564,-0.5592121,-0.2963627,0.40554652,-0.28266135,-0.038588155,0.1275277,0.031060638,0.16203415,0.15801415,-0.20068629,-0.44074774,0.18259339,-0.33372417,-0.06470859,-0.06649502,0.007414123,0.1368211,0.43776095
-0.9,0.6187394,0.5864025,-0.36505243,0.4451995,0.40270874,-0.23129418,0.33439317,0.07420365,-0.5037201,-0.11914899,0.25617492,-0.5419286,-0.29029444,0.39561474,-0.26687792,-0.038595498,0.12373237,0.03469205,0.16890952,0.14210476,-0.20561087,-0.43454045,0.16838923,-0.33114943,-0.045731846,-0.065875545,0.008212621,0.122770324,0.42783833
-0.85,0.5948672,0.56641114,-0.35673556,0.4388162,0.39798447,-0.21875368,0.31273708,0.0650577,-0.46530288,-0.117744364,0.23677413,-0.5254648,-0.2847375,0.38613242,-0.25161916,-0.038963284,0.12073817,0.0384101,0.17514879,0.12711874,-0.20998457,-0.42848435,0.15490386,-0.3285707,-0.027998487,-0.065417655,0.009249223,0.1094066,0.41821048
-0.8,0.5718593,0.5474272,-0.34887883,0.43243328,0.39347327,-0.2067963,0.2921221,0.056411706,-0.4290219,-0.11658283,0.21851379,-0.509823,-0.27964187,0.37710878,-0.23686667,-0.03966259,0.11848953,0.042185374,0.18076292,0.11302349,-0.21381454,-0.4225931,0.14213865,-0.32598037,-0.011468042,-0.06514447,0.010498811,0.09672091,0.4088942
-0.75,0.5497165,0.5294602,-0.34149683,0.42608002,0.38919663,-0.19543338,0.2725221,0.04828927,-0.39486176,-0.115674585,0.20134431,-0.4950053,-0.27495766,0.36855316,-0.22260222,-0.040664487,0.11693095,0.04598843,0.18576275,0.099786416,-0.21710786,-0.4168805,0.13009496,-0.32337078,0.0038999233,-0.06507908,0.011936277,0.08470425,0.39990622
-0.7,0.5284394,0.51251984,-0.33460414,0.4197858,0.38517627,-0.18467623,0.25391093,0.04071405,-0.36280712,-0.11502978,0.18521623,-0.48101392,-0.2706349,0.36047488,-0.20880745,-0.041940045,0.11600688,0.049789812,0.19015908,0.08737495,-0.2198717,-0.41136014,0.1187742,-0.32073447,0.018145831,-0.065244585,0.013536506,0.07334766,0.3912633
-0.65,0.50802886,0.49661574,-0.32821515,0.41358,0.38143378,-0.17453612,0.23626252,0.033709683,-0.33284265,-0.11465863,0.17007999,-0.46785113,-0.2666237,0.3528834,-0.19546407,-0.043460343,0.11566181,0.0535601,0.19396284,0.0757565,-0.22211313,-0.40604588,0.10817774,-0.31806362,0.031310122,-0.065664105,0.015274385,0.062642135,0.3829822
-0.6,0.4884855,0.48175758,-0.32234445,0.4074918,0.37799075,-0.16502438,0.21955074,0.027299792,-0.30495298,-0.11457128,0.15588611,-0.4555191,-0.2628741,0.3457879,-0.18255383,-0.04519644,0.11584018,0.05726985,0.19718485,0.06489852,-0.22383933,-0.40095145,0.09830696,-0.3153507,0.04343322,-0.06636073,0.017124804,0.0525787,0.37507966
-0.55,0.46981,0.4679549,-0.31700653,0.40155062,0.37486878,-0.15615226,0.20374943,0.02150801,-0.27912274,-0.11477793,0.14258505,-0.44401997,-0.25933617,0.33919784,-0.17005835,-0.047119413,0.11648648,0.06088963,0.19983597,0.054768384,-0.22505738,-0.39609048,0.08916324,-0.31258813,0.05455559,-0.06735756,0.019062648,0.043148343,0.36757243
-0.5,0.45200312,0.45521736,-0.31221598,0.3957858,0.37208948,-0.14793111,0.18883246,0.016357968,-0.2553365,-0.115288764,0.1301273,-0.43335593,-0.25596005,0.33312246,-0.15795934,-0.04920034,0.11754519,0.06439001,0.20192704,0.045333523,-0.22577445,-0.39147675,0.08074795,-0.30976826,0.06471765,-0.068677716,0.021062808,0.034342077,0.36047727
-0.45,0.43506548,0.44355464,-0.30798724,0.39022666,0.3696745,-0.14037219,0.17477377,0.011873301,-0.233579,-0.11611394,0.11846333,-0.42352924,-0.2526957,0.32757118,-0.1462385,-0.05141029,0.11896075,0.067741536,0.20346892,0.036561362,-0.22599763,-0.38712403,0.07306247,-0.30688342,0.07395986,-0.07034429,0.023100171,0.026150916,0.35381094
-0.4,0.41899794,0.43297637,-0.30433485,0.38490248,0.3676454,-0.13348678,0.16154718,0.008077649,-0.21383479,-0.11726365,0.10754363,-0.4145421,-0.24949327,0.32255328,-0.13487753,-0.053720333,0.12067766,0.07091479,0.20447244,0.028419325,-0.22573406,-0.38304603,0.06610821,-0.3039261,0.082322605,-0.07238039,0.025149621,0.018565873,0.34759018
-0.35,0.40380105,0.42349204,-0.30127335,0.3798426,0.36602384,-0.12728621,0.14912657,0.0049946317,-0.19608857,-0.118748076,0.09731868,-0.40639666,-0.24630281,0.31807807,-0.123858124,-0.056101542,0.122640364,0.07388032,0.20494851,0.020874817,-0.22499086,-0.3792564,0.059886515,-0.30088866,0.089846365,-0.074809104,0.027186051,0.011577945,0.34183174
-0.3,0.38947558,0.41511148,-0.2988172,0.37507635,0.36483136,-0.121781774,0.13748583,0.002647891,-0.18032494,-0.120577395,0.08773895,-0.39909515,-0.24307437,0.31415495,-0.113161966,-0.05852499,0.12479336,0.0766087,0.20490795,0.013895265,-0.22377516,-0.37576896,0.05439878,-0.29776344,0.09657158,-0.07765355,0.029184345,0.0051781507,0.33655238
-0.25,0.37602222,0.40784422,-0.296981,0.3706331,0.36408967,-0.11698475,0.12659883,0.0010610572,-0.16652852,-0.122761786,0.07875494,-0.39263973,-0.23975804,0.31079325,-0.10277075,-0.060961742,0.12708108,0.07907049,0.20436162,0.00744808,-0.22209409,-0.3725974,0.049646378,-0.29454285,0.10253866,-0.08093684,0.031119391,-0.0006425064,0.3317688
-0.2,0.36344168,0.40169984,-0.29577926,0.3665421,0.36382028,-0.11290645,0.11643945,0.00025776276,-0.15468399,-0.12531142,0.0703171,-0.3870326,-0.23630391,0.30800226,-0.092666164,-0.06338288,0.12944803,0.08123625,0.20332037,0.0015006865,-0.21995476,-0.36975545,0.045630693,-0.2912193,0.107788056,-0.08468207,0.03296608,-0.005893014,0.32749784
-0.15,0.3517347,0.39668807,-0.2952264,0.36283273,0.36404485,-0.10955815,0.10698156,0.00026164003,-0.14477596,-0.12823649,0.06237594,-0.38227597,-0.23266199,0.30579135,-0.082829915,-0.06575947,0.13183866,0.08307655,0.20179506,-0.0039795004,-0.21736428,-0.36725682,0.042353105,-0.2877851,0.1123602,-0.08891233,0.034699302,-0.010582365,0.32375622
-0.1,0.3409019,0.39281848,-0.295337,0.35953426,0.36478496,-0.10695117,0.09819903,0.001096323,-0.13678907,-0.13154718,0.054881934,-0.3783721,-0.22878242,0.30416983,-0.073243685,-0.06806259,0.13419744,0.08456195,0.19979654,-0.009025061,-0.21432982,-0.36511526,0.03981499,-0.2842327,0.11629554,-0.09365074,0.03629393,-0.014719553,0.32056066
-0.05,0.33094403,0.39010075,-0.29612562,0.35667607,0.36606228,-0.10509679,0.090065755,0.0027854438,-0.13070795,-0.13525365,0.047785554,-0.37532306,-0.22461523,0.30314714,-0.063889176,-0.07026329,0.13646884,0.085663006,0.19733566,-0.013668578,-0.21085848,-0.36334452,0.038017735,-0.28055447,0.11963449,-0.0989204,0.037724875,-0.018313564,0.31792793
0.0,0.3218618,0.38854444,-0.29760674,0.3542875,0.36789837,-0.104006305,0.08255559,0.005352635,-0.12651724,-0.1393661,0.04103729,-0.37313113,-0.22011049,0.30273244,-0.05474807,-0.07233267,0.13859734,0.08635029,0.19442329,-0.017942632,-0.20695738,-0.36195827,0.036962714,-0.2767428,0.12241751,-0.10474441,0.038967002,-0.021373393,0.3158748
0.05,0.31365594,0.38815925,-0.29979488,0.35239783,0.37031484,-0.10369103,0.07564243,0.008821529,-0.124201566,-0.14389472,0.034587625,-0.37179846,-0.21521829,0.30293518,-0.045802068,-0.074241795,0.14052741,0.08659437,0.19107026,-0.021879803,-0.20263366,-0.3609703,0.036651306,-0.27279,0.12468503,-0.11114588,0.03999521,-0.02390803,0.314418
0.1,0.30632704,0.3889548,-0.30270454,0.35103643,0.37333333,-0.10416222,0.06930012,0.013215762,-0.123745576,-0.14884964,0.028387023,-0.3713273,-0.20988867,0.3037647,-0.037032865,-0.075961724,0.14220348,0.0863658,0.18728746,-0.025512679,-0.19789444,-0.36039427,0.037084896,-0.2686886,0.12647747,-0.11814791,0.04078439,-0.025926463,0.31357422
0.15,0.29987597,0.39094064,-0.3063503,0.35023254,0.37697542,-0.10543123,0.063502565,0.018558962,-0.1251339,-0.15424107,0.022385983,-0.37171987,-0.20407173,0.3052303,-0.028422141,-0.077463545,0.14357008,0.08563514,0.1830857,-0.028873837,-0.19274682,-0.36024398,0.03826486,-0.26443088,0.12783527,-0.1257736,0.04130942,-0.02743769,0.3133604
0.2,0.29430333,0.39412653,-0.31074658,0.35001558,0.3812627,-0.10750931,0.058223642,0.024874764,-0.1283512,-0.1600792,0.016534977,-0.37297824,-0.19771753,0.30734125,-0.019951604,-0.07871832,0.14457166,0.08437296,0.17847587,-0.03199586,-0.18719795,-0.36053306,0.040192574,-0.26000923,0.12879893,-0.13404603,0.041545194,-0.028450698,0.31379312
0.25,0.28960985,0.398522,-0.31590798,0.35041484,0.38621682,-0.11040776,0.0534372,0.0321868,-0.13338205,-0.16637419,0.010784489,-0.3751047,-0.19077614,0.31010702,-0.011602941,-0.07969711,0.14515267,0.082549825,0.1734688,-0.034911327,-0.18125498,-0.36127537,0.04286942,-0.2554161,0.12940879,-0.14298837,0.0414666,-0.028974475,0.31488913
0.3,0.28579617,0.40413672,-0.32184902,0.35145962,0.39185944,-0.114137895,0.049117137,0.040518705,-0.14021112,-0.17313623,0.005084997,-0.37810144,-0.18319763,0.3135369,-0.0033578435,-0.080371015,0.14525758,0.080136314,0.16807538,-0.03765282,-0.17492498,-0.36248457,0.046296787,-0.25064382,0.12970534,-0.15262365,0.041048523,-0.029018018,0.3166653
0.35,0.2828631,0.4109803,-0.32858413,0.3531793,0.39821208,-0.118711,0.045237318,0.049894106,-0.14882307,-0.18037552,-0.0006130128,-0.3819706,-0.17493206,0.31764022,0.004801988,-0.08071109,0.14483088,0.07710295,0.16230643,-0.040252928,-0.16821511,-0.3641744,0.050476037,-0.24568476,0.129729,-0.16297503,0.04026585,-0.028590316,0.3191383
0.4,0.2808113,0.41906244,-0.33612797,0.35560316,0.40529636,-0.12413838,0.04177162,0.060336646,-0.15920252,-0.1881022,-0.006359067,-0.3867145,-0.16592953,0.32242626,0.012894873,-0.0806884,0.14381702,0.07342033,0.1561728,-0.04274422,-0.16113248,-0.36635852,0.055408567,-0.24053134,0.12952022,-0.17406558,0.039093472,-0.027700357,0.3223249
0.45,0.27964148,0.4283927,-0.3444949,0.35876054,0.41313386,-0.13043132,0.038693924,0.07186995,-0.17133406,-0.19632646,-0.012202676,-0.3923352,-0.15614009,0.32790443,0.020939104,-0.08027404,0.14216049,0.06905901,0.14968535,-0.04515929,-0.15368423,-0.3690507,0.061095744,-0.23517592,0.12911944,-0.1859184,0.037506282,-0.02635714,0.32624182
0.5,0.27935427,0.4389807,-0.35369962,0.3626808,0.42174634,-0.13760112,0.035978097,0.08451764,-0.18520239,-0.20505852,-0.01819337,-0.39883494,-0.14551379,0.33408406,0.028953003,-0.07943906,0.13980573,0.063989535,0.14285496,-0.047530714,-0.14587747,-0.37226474,0.06753896,-0.22961092,0.12856708,-0.19855665,0.035479154,-0.024569651,0.33090585
